market_record_id,date,region,district,market_name,commodity,price_ghs,wholesale_price_ghs,quantity_available_kg,seller_type,mobile_money_acceptance,market_centre_type
1,2023-06-27,Greater Accra,Tema,Kejetia,onion,16.57,14.66,592,aggregator,yes,rural
2,2024-03-29,Ashanti,Mampong,Techiman Market,tomato,17.22,15.93,101,wholesaler,yes,peri-urban
3,2024-11-25,Ahafo,Asunafo North,Agbogbloshie,onion,11.41,9.43,417,aggregator,yes,peri-urban
4,2024-01-27,Ahafo,Asunafo North,Kotokuraba,sardine,15.98,13.92,412,retailer,yes,peri-urban
5,2025-12-18,Western North,Juaboso,Kejetia,rice,9.71,8.17,63,aggregator,yes,urban
6,2022-12-17,Greater Accra,Tema,Kejetia,sardine,9.35,7.69,497,wholesaler,no,urban
7,2022-07-07,Upper East,Paga,Kotokuraba,yam,9.11,7.63,110,aggregator,no,urban
8,2022-11-30,Ahafo,Goaso,Kejetia,pepper,13.58,12.73,348,wholesaler,yes,rural
9,2023-04-28,Northern,Tolon,Keta Market,palm oil,8.92,7.54,433,aggregator,no,urban
10,2025-05-24,Eastern,Suhum,Kotokuraba,sardine,11.6,10.81,129,aggregator,yes,peri-urban
11,2025-03-27,Bono East,Kintampo,Makola,onion,18.47,15.6,238,retailer,no,rural
12,2023-10-29,Upper East,Paga,Keta Market,rice,9.39,8.75,482,aggregator,yes,rural
13,2025-06-18,Bono East,Kintampo,Techiman Market,sardine,11.29,10.14,534,retailer,yes,peri-urban
14,2022-10-23,Western,Axim,Takoradi Market,tomato,13.81,11.51,572,retailer,yes,urban
15,2022-02-14,Upper West,Lawra,Tamale Central,rice,14.68,13.06,276,aggregator,no,rural
16,2023-05-10,Upper East,Bawku,Aboabo Market,plantain,11.31,9.71,212,aggregator,yes,peri-urban
17,2022-06-24,Volta,Ho,Kotokuraba,pepper,17.73,15.35,89,aggregator,no,urban
18,2024-09-30,Central,Komenda,Agbogbloshie,cassava,16.55,14.45,478,retailer,yes,rural
19,2025-10-01,Ashanti,Obuasi,Keta Market,maize,20.06,17.47,401,wholesaler,no,rural
20,2022-02-25,Central,Cape Coast,Tamale Central,palm oil,13.08,11.77,513,wholesaler,no,rural
21,2022-12-07,Ashanti,Ejisu,Makola,pepper,11.25,10.26,116,retailer,yes,rural
22,2025-02-05,Upper East,Bolgatanga,Aboabo Market,yam,10.6,9.11,243,retailer,yes,rural
23,2022-08-02,Bono East,Atebubu,Takoradi Market,pepper,14.99,13.95,300,aggregator,yes,urban
24,2024-01-28,Oti,Kadjebi,Takoradi Market,onion,11.8,11.0,352,aggregator,no,peri-urban
25,2025-11-21,Savannah,Damongo,Takoradi Market,pepper,11.03,9.1,424,wholesaler,yes,rural
26,2023-07-04,Volta,Ho,Takoradi Market,pepper,11.51,9.46,515,wholesaler,yes,peri-urban
27,2023-05-12,Central,Kasoa,Ho Main Market,maize,10.6,9.23,205,wholesaler,no,peri-urban
28,2022-06-22,Eastern,Nsawam,Aboabo Market,cassava,14.44,12.86,57,aggregator,no,peri-urban
29,2022-04-15,Eastern,Suhum,Ho Main Market,rice,8.21,7.01,507,aggregator,no,urban
30,2023-04-24,Northern,Yendi,Makola,maize,14.97,12.74,575,retailer,yes,peri-urban
31,2025-11-23,Bono East,Atebubu,Keta Market,onion,17.06,15.38,525,aggregator,yes,peri-urban
32,2023-03-10,Upper West,Jirapa,Makola,onion,10.99,9.81,508,wholesaler,yes,peri-urban
33,2023-10-04,Volta,Ho,Agbogbloshie,yam,26.38,22.16,76,retailer,yes,rural
34,2023-11-24,Central,Kasoa,Ho Main Market,plantain,13.55,12.55,531,aggregator,no,rural
35,2024-09-17,Eastern,Nsawam,Kejetia,rice,7.8,7.03,267,wholesaler,no,peri-urban
36,2024-07-10,Bono East,Techiman,Kotokuraba,onion,12.2,10.53,123,aggregator,no,urban
37,2022-07-13,Eastern,Suhum,Aboabo Market,maize,13.76,12.41,576,retailer,yes,rural
38,2024-04-22,Ashanti,Ejisu,Kejetia,onion,15.75,13.13,79,aggregator,no,rural
39,2024-03-11,Upper East,Navrongo,Keta Market,pepper,12.3,10.78,597,wholesaler,yes,peri-urban
40,2025-09-26,Upper West,Tumu,Takoradi Market,plantain,9.45,7.94,578,retailer,no,peri-urban
41,2022-02-28,Greater Accra,Tema,Kotokuraba,onion,9.18,7.57,257,wholesaler,no,urban
42,2023-04-23,Bono,Dormaa,Kotokuraba,pepper,10.71,9.22,390,retailer,yes,rural
43,2025-01-31,Volta,Kpando,Takoradi Market,yam,11.08,9.29,45,aggregator,no,peri-urban
44,2023-06-17,Oti,Kadjebi,Takoradi Market,onion,9.05,8.11,412,aggregator,no,rural
45,2023-08-15,Bono East,Nkoranza,Kejetia,plantain,10.42,9.39,129,wholesaler,yes,peri-urban
46,2024-04-18,Northern,Savelugu,Techiman Market,maize,16.96,14.21,411,aggregator,no,peri-urban
47,2025-09-07,Western,Axim,Kotokuraba,yam,23.97,19.73,273,retailer,yes,urban
48,2023-07-03,Western,Axim,Kejetia,sardine,17.54,16.05,571,aggregator,no,rural
49,2024-11-03,Upper East,Bawku,Makola,rice,21.26,17.44,116,aggregator,no,rural
50,2022-08-09,Western North,Bodi,Makola,pepper,18.93,16.3,557,aggregator,yes,peri-urban
