record_id,year,region,district,school_name,school_type,rainfall_mm,average_temperature_c,attendance_rate_pct,graduation_rate_pct,teacher_student_ratio,electricity_outage_days
1,2025,North East,Walewale,Apam SHS,mission,101.5,30.6,86.1,87.2,0.047,6
2,2019,Bono East,Kintampo,Wesley Girls,public,55.5,31.7,82.7,90,0.043,7
3,2020,Eastern,Nsawam,Mfantsipim School,private,36.3,32.1,89.3,89.1,0.054,5
4,2023,Ahafo,Tano North,Adisadel College,mission,61.7,33,78,79.1,0.032,5
5,2024,Western,Tarkwa,Mfantsipim School,mission,113.6,32.6,69.3,87.1,0.047,3
6,2024,Bono,Berekum,Ghana National College,mission,47.9,32,64.2,79.5,0.044,5
7,2019,Upper East,Navrongo,Adisadel College,public,38,28.6,65.1,74.2,0.053,2
8,2021,Central,Cape Coast,St Augustine's College,private,44.4,28.5,80.9,79.7,0.052,5
9,2020,Ashanti,Mampong,Mfantsipim School,private,47.9,27.7,64.5,77.1,0.045,5
10,2023,Ahafo,Goaso,Ghana National College,public,21.2,26.9,77.5,93.1,0.039,7
11,2018,Northern,Tamale,Apam SHS,public,33.9,24.6,74.9,67.1,0.031,3
12,2024,Upper West,Wa,Mfantsipim School,mission,32.4,30.7,72.4,85.8,0.05,7
13,2023,North East,Chereponi,Ghana National College,mission,26.6,28.9,82.8,88.8,0.05,4
14,2020,Bono,Wenchi,Apam SHS,private,74.9,29.5,73.7,87.3,0.037,6
15,2023,Western,Sekondi-Takoradi,Mfantsipim School,mission,80,31,72.9,81.7,0.033,3
16,2023,Eastern,Nsawam,Apam SHS,mission,34.5,29.1,76.7,81.3,0.054,5
17,2024,North East,Nalerigu,Ghana National College,public,59.1,28,75.8,91.5,0.04,6
18,2018,Volta,Ho,St Augustine's College,private,110.3,28.5,77.1,75.4,0.048,4
19,2022,Eastern,Koforidua,UCC Practice School,mission,14.5,27.3,86.9,80.1,0.044,5
20,2024,North East,Chereponi,Ghana National College,mission,39.5,31.9,75.4,70.8,0.047,0
21,2023,Bono,Sunyani,UCC Practice School,mission,56.2,25.2,82,82.5,0.027,3
22,2022,Western,Axim,Cape Coast Technical University,public,36.7,30.2,72.8,96.9,0.045,5
23,2023,Western,Sekondi-Takoradi,Wesley Girls,private,132.6,29.3,68.1,74.5,0.042,4
24,2024,Upper East,Bolgatanga,UCC Practice School,public,128.8,25.2,76.4,85.9,0.048,4
25,2023,Bono East,Atebubu,Mfantsipim School,mission,64.5,28.5,75.6,80,0.054,5
26,2022,North East,Nalerigu,UCC Practice School,private,96,30.8,70.5,79.9,0.051,6
27,2022,Savannah,Damongo,UCC Practice School,mission,41.4,28.5,81.9,79.5,0.039,2
