record_id,date,weather_station,district,rainfall_mm,max_temperature_c,min_temperature_c,flood_incidents,water_supply_interruptions,crop_yield_index,school_closure_days,district_policy_pressure_index
1,2023-11-01,Cape Coast North,Komenda,68.3,30.9,23.3,0,2,96.9,2,63.5
2,2023-02-11,Komenda,Elmina,40.9,29.8,23.7,1,2,89.0,1,45.3
3,2024-11-02,Mankessim,Komenda,23.3,29.6,22.6,0,4,101.1,0,37.1
4,2022-08-15,Komenda,Mfantsiman,13.2,34.9,25.1,0,2,92.9,0,36.8
5,2024-11-17,Winneba,Abura Asebu Kwamankese,63.9,27.5,25.2,2,1,90.8,0,42.0
6,2023-09-10,Cape Coast South,Elmina,87.4,31.2,24.6,0,4,94.8,0,24.5
7,2024-01-03,Mankessim,Mfantsiman,16.8,29.7,25.5,0,2,91.3,1,54.0
8,2022-12-31,Winneba,Ekumfi,73.5,29.3,25.2,0,2,85.1,1,42.3
9,2022-09-13,Cape Coast North,Ekumfi,70.4,30.5,25.5,2,1,80.6,0,48.6
10,2025-02-16,Mankessim,Komenda,49.8,31.9,23.0,1,5,92.2,2,50.8
11,2022-05-09,Cape Coast South,Mfantsiman,63.9,34.6,24.8,2,3,87.4,1,40.0
12,2021-06-16,Cape Coast South,Elmina,53.6,30.5,22.7,2,5,94.6,0,55.0
13,2021-03-22,Cape Coast South,Cape Coast,36.5,29.3,24.8,0,1,90.4,1,39.1
14,2021-04-20,Winneba,Cape Coast,64.2,33.2,22.0,1,3,93.1,1,34.9
15,2022-03-07,Elmina,Mfantsiman,14.6,29.5,26.2,1,1,96.7,0,42.3
16,2021-01-28,Elmina,Ekumfi,51.5,28.3,21.4,1,2,86.6,0,42.8
17,2023-06-16,Elmina,Cape Coast,160.2,31.2,24.8,2,3,89.8,5,56.3
18,2025-04-21,Winneba,Ekumfi,76.2,29.1,25.1,1,4,84.1,0,43.9
19,2024-10-08,Winneba,Mfantsiman,82.8,29.2,26.0,2,2,77.0,1,49.9
20,2022-07-16,Komenda,Cape Coast,17.0,32.6,24.4,0,3,92.1,0,28.4
21,2024-09-26,Elmina,Ekumfi,54.7,28.8,22.5,1,3,78.8,1,44.3
22,2023-01-04,Winneba,Abura Asebu Kwamankese,28.9,30.5,25.8,0,5,94.0,2,21.4
23,2021-11-29,Komenda,Cape Coast,107.4,29.7,23.7,0,8,82.1,0,26.5
24,2024-02-26,Cape Coast North,Elmina,63.7,31.6,22.2,0,2,97.2,0,42.5
25,2025-07-22,Cape Coast North,Komenda,106.2,29.0,22.7,1,5,88.1,0,26.7
26,2022-11-21,Winneba,Elmina,55.5,32.4,26.7,3,7,78.7,0,63.7
27,2024-03-20,Komenda,Abura Asebu Kwamankese,135.1,33.3,23.0,2,2,84.9,1,41.1
28,2022-11-24,Komenda,Elmina,76.2,31.1,25.4,0,3,104.9,0,52.5
29,2023-06-21,Winneba,Mfantsiman,65.8,29.3,25.0,1,4,97.2,1,49.9
30,2025-10-13,Cape Coast South,Ekumfi,66.6,32.8,23.7,0,2,97.8,1,49.4
31,2025-08-01,Cape Coast North,Cape Coast,89.9,31.8,23.0,4,5,100.3,1,50.4
32,2023-02-23,Cape Coast North,Komenda,34.0,33.2,23.2,1,5,97.4,0,30.1
33,2025-10-07,Cape Coast South,Cape Coast,48.2,33.3,23.4,1,5,88.0,2,45.3
34,2021-01-22,Cape Coast North,Abura Asebu Kwamankese,46.4,29.8,23.3,0,4,98.6,1,38.2
35,2022-03-02,Cape Coast North,Ekumfi,41.2,34.0,23.9,0,2,97.1,0,23.6
36,2024-01-19,Cape Coast North,Elmina,146.2,29.2,23.3,2,2,80.4,3,52.4
37,2021-09-18,Cape Coast North,Ekumfi,117.5,35.3,26.8,2,3,81.4,0,43.0
38,2025-10-24,Elmina,Komenda,90.5,34.7,24.6,0,3,88.8,3,23.3
39,2024-12-15,Winneba,Ekumfi,61.2,31.9,24.1,0,1,79.0,1,66.7
40,2022-08-21,Cape Coast South,Komenda,101.8,31.1,22.9,0,4,82.6,1,57.0
41,2022-03-11,Cape Coast North,Abura Asebu Kwamankese,76.2,30.7,24.5,0,2,90.7,0,46.2
42,2022-04-11,Mankessim,Komenda,124.2,32.8,26.1,3,3,75.5,1,50.3
43,2021-12-15,Elmina,Elmina,86.1,31.3,25.2,1,1,87.9,0,47.2
44,2022-02-07,Winneba,Mfantsiman,86.7,32.0,22.1,1,3,76.8,0,20.4
45,2025-12-01,Cape Coast South,Mfantsiman,84.8,31.7,25.9,1,1,78.7,0,50.7
46,2025-01-19,Cape Coast North,Ekumfi,43.9,31.8,21.6,1,4,77.0,0,44.6
47,2024-07-30,Cape Coast North,Komenda,71.1,31.6,24.8,0,2,93.9,0,46.5
48,2023-05-11,Mankessim,Komenda,25.6,31.3,26.8,1,4,88.6,0,34.6
49,2025-02-24,Cape Coast North,Cape Coast,63.9,31.0,24.3,0,2,104.7,0,40.4
50,2022-09-01,Mankessim,Komenda,46.6,32.5,24.7,1,4,87.8,0,43.7
