respondent_id,region,district,age,age_group,gender,education_level,monthly_income_ghs,smartphone_skill_score,mobile_money_transactions_monthly,average_transaction_value_ghs,data_usage_gb_monthly,digital_confidence_score,savings_behaviour_score
1,Eastern,Koforidua,18,18-24,Male,postgraduate,1201.24,7,23.0,68.99,11.2,7.5,3.6
2,Oti,Dambai,37,35-44,Female,postgraduate,826.64,5,24.0,117.59,6.3,7.0,2.6
3,North East,Walewale,37,35-44,Female,postgraduate,738.45,3,8.0,89.69,5.0,2.3,3.8
4,Upper East,Bolgatanga,29,25-34,Female,tertiary,760.01,7,20.0,95.98,9.9,8.6,4.6
5,Northern,Tolon,18,18-24,Male,basic,755.16,3,25.0,76.7,2.5,2.9,6.1
6,North East,Bunkpurugu,38,35-44,Male,secondary,1758.64,5,31.0,77.64,8.2,6.0,4.2
7,North East,Chereponi,39,35-44,Male,tertiary,1620.84,2,20.0,120.39,4.9,1.5,3.7
8,Eastern,Suhum,44,35-44,Female,basic,1598.85,1,12.0,89.17,4.3,1.6,5.6
9,Western North,Juaboso,34,25-34,Male,postgraduate,883.04,7,18.0,177.92,10.3,6.0,2.7
10,Upper West,Tumu,36,35-44,Female,tertiary,764.89,8,16.0,131.45,11.8,9.0,7.7
11,Western,Axim,18,18-24,Female,secondary,1261.82,9,23.0,83.25,13.4,9.1,6.4
12,Upper West,Jirapa,32,25-34,Female,tertiary,1119.49,10,22.0,105.14,15.0,10.0,4.9
13,Ahafo,Tano North,25,25-34,Female,tertiary,1648.37,4,26.0,215.13,7.2,5.5,8.9
14,Bono,Dormaa,18,18-24,Male,basic,919.93,7,17.0,108.85,7.4,7.6,8.2
15,Upper West,Lawra,29,25-34,Male,basic,913.06,8,23.0,79.88,10.3,7.6,5.0
16,Central,Mfantsiman,24,18-24,Male,tertiary,1574.27,6,14.0,81.79,8.8,6.2,5.8
17,Oti,Kadjebi,23,18-24,Female,secondary,1174.73,7,14.0,41.42,8.5,7.2,2.6
18,Ahafo,Asutifi South,49,45-54,Female,tertiary,508.99,7,22.0,76.15,8.4,5.2,5.6
19,Upper West,Wa,18,18-24,Female,secondary,1880.64,4,28.0,78.5,6.8,3.4,4.2
20,Ahafo,Tano North,23,18-24,Male,tertiary,2471.87,3,14.0,156.87,7.2,1.0,3.5
21,Greater Accra,Madina,28,25-34,Male,tertiary,1480.46,6,19.0,100.69,8.3,6.3,4.3
22,Savannah,Damongo,26,25-34,Female,postgraduate,1289.14,7,33.0,103.66,8.8,6.8,5.2
23,Ashanti,Kumasi,18,18-24,Male,basic,1652.28,4,31.0,81.08,5.0,5.4,6.5
24,Central,Komenda,35,35-44,Male,postgraduate,1470.61,10,23.0,63.07,15.4,10.0,7.3
25,Volta,Hohoe,24,18-24,Male,secondary,1581.07,3,15.0,145.19,7.6,4.4,5.3
26,Bono East,Kintampo,47,45-54,Female,basic,856.9,7,51.0,173.92,11.1,7.1,6.7
27,North East,Nalerigu,18,18-24,Male,basic,318.33,5,15.0,82.62,9.3,3.7,7.3
28,Savannah,Damongo,24,18-24,Female,basic,1133.79,7,24.0,174.27,7.4,7.2,6.1
29,Upper East,Bawku,23,18-24,Female,secondary,726.77,5,16.0,82.82,8.9,7.5,4.6
30,Western,Tarkwa,42,35-44,Male,secondary,870.35,8,27.0,166.68,11.4,7.7,4.5
31,Western North,Juaboso,41,35-44,Male,secondary,2263.22,7,19.0,105.57,9.9,8.4,3.6
32,Savannah,Salaga,24,18-24,Male,postgraduate,840.66,7,14.0,101.79,9.9,6.6,3.4
33,Ahafo,Asutifi South,19,18-24,Male,secondary,900.87,4,24.0,176.76,6.4,3.9,5.0
34,Northern,Tolon,30,25-34,Male,postgraduate,1731.2,5,28.0,82.11,8.9,3.8,4.7
35,Northern,Yendi,33,25-34,Female,secondary,1320.16,3,14.0,129.03,6.4,5.7,3.8
36,Bono East,Techiman,35,35-44,Female,secondary,952.05,4,17.0,97.53,5.4,1.9,4.7
37,Ashanti,Obuasi,25,25-34,Male,tertiary,759.71,7,20.0,66.37,10.7,8.2,6.1
38,Greater Accra,Accra,24,18-24,Male,postgraduate,1083.69,6,3.0,90.54,9.0,5.3,4.9
39,Western North,Juaboso,34,25-34,Male,secondary,979.31,8,20.0,125.0,14.9,8.0,2.1
40,Central,Cape Coast,41,35-44,Female,tertiary,772.81,6,13.0,92.14,11.6,5.8,6.1
41,Ashanti,Obuasi,42,35-44,Female,postgraduate,900.77,5,35.0,57.23,6.9,4.5,5.9
42,Upper East,Paga,26,25-34,Male,tertiary,1267.01,8,29.0,123.69,10.6,5.5,5.0
43,Western North,Bibiani,20,18-24,Female,tertiary,590.58,4,0.0,225.64,4.0,2.8,6.6
44,Upper West,Tumu,18,18-24,Male,tertiary,912.38,8,33.0,56.94,10.0,6.4,3.6
45,Eastern,Suhum,26,25-34,Male,secondary,1324.4,8,29.0,80.57,9.9,7.8,4.4
46,North East,Nalerigu,26,25-34,Female,tertiary,796.31,4,21.0,101.78,4.8,2.7,2.0
47,Eastern,Akim Oda,32,25-34,Male,secondary,1436.57,6,28.0,55.13,5.5,6.4,4.1
48,Western,Shama,25,25-34,Female,basic,1433.13,6,29.0,132.48,10.8,7.1,7.3
49,Greater Accra,Kasoa East,20,18-24,Female,postgraduate,712.98,9,26.0,94.28,7.5,10.0,4.4
50,Northern,Tamale,21,18-24,Female,secondary,1549.77,9,11.0,127.9,11.3,8.8,5.7
51,Upper West,Tumu,37,35-44,Male,secondary,830.02,8,30.0,130.48,10.7,9.3,2.7
52,Bono,Dormaa,18,18-24,Male,tertiary,808.99,6,21.0,91.43,8.5,5.6,2.9
53,Northern,Yendi,30,25-34,Female,tertiary,663.36,6,34.0,170.61,11.2,7.6,1.7
54,Oti,Jasikan,37,35-44,Female,secondary,1119.33,9,38.0,93.33,15.0,9.1,5.7
55,Western North,Sefwi Wiawso,18,18-24,Female,tertiary,1647.35,10,28.0,196.41,16.8,10.0,5.4
56,Bono East,Kintampo,33,25-34,Female,secondary,1476.7,7,35.0,173.82,12.5,8.9,3.9
57,Savannah,Salaga,42,35-44,Female,tertiary,2264.19,5,33.0,55.38,8.7,3.0,5.2
58,Western North,Sefwi Wiawso,21,18-24,Male,tertiary,1519.03,7,23.0,88.69,14.6,6.5,4.5
59,Greater Accra,Madina,29,25-34,Female,tertiary,1033.02,9,30.0,133.49,12.8,10.0,2.6
60,Bono,Wenchi,24,18-24,Male,secondary,591.32,4,24.0,100.59,2.4,1.7,4.0
61,Central,Kasoa,30,25-34,Male,tertiary,1368.32,9,16.0,108.95,9.2,8.5,2.2
62,Western North,Bodi,18,18-24,Female,postgraduate,1765.39,2,22.0,103.18,5.4,2.8,5.5
63,Central,Cape Coast,20,18-24,Female,postgraduate,810.58,5,15.0,61.82,6.7,3.7,4.2
64,North East,Chereponi,40,35-44,Female,basic,890.46,6,14.0,220.48,4.0,6.0,3.1
65,Savannah,Bole,23,18-24,Male,basic,1200.42,7,18.0,112.39,12.2,6.8,5.5
66,Central,Kasoa,28,25-34,Female,secondary,921.11,6,31.0,105.97,10.2,9.7,9.9
67,Western North,Bibiani,25,25-34,Male,secondary,988.79,1,19.0,109.76,3.9,1.0,5.9
68,Western,Tarkwa,48,45-54,Male,postgraduate,628.63,3,9.0,143.83,3.3,4.7,6.5
69,Greater Accra,Accra,18,18-24,Female,secondary,2561.37,7,41.0,97.64,15.0,8.8,2.8
70,Bono East,Techiman,33,25-34,Female,basic,1342.93,6,34.0,93.76,11.5,4.2,3.4
71,Eastern,Suhum,19,18-24,Male,secondary,1843.54,5,21.0,64.01,5.8,6.7,5.2
72,Volta,Ho,27,25-34,Female,secondary,1823.06,3,14.0,79.73,7.4,2.4,4.0
73,Oti,Jasikan,31,25-34,Female,postgraduate,1694.17,7,30.0,106.0,13.9,8.8,5.4
74,Savannah,Sawla,26,25-34,Male,postgraduate,1434.77,8,22.0,102.89,10.3,10.0,6.8
75,Volta,Hohoe,31,25-34,Male,basic,792.26,6,13.0,125.62,9.4,4.6,5.3
76,Bono East,Atebubu,23,18-24,Female,postgraduate,1172.99,4,4.0,99.95,9.8,2.6,8.8
77,Central,Kasoa,18,18-24,Male,tertiary,553.38,4,5.0,252.41,7.0,3.7,3.0
78,Upper East,Bawku,27,25-34,Male,secondary,673.67,6,22.0,153.67,8.4,9.3,5.1
79,Western,Shama,30,25-34,Female,postgraduate,1115.31,5,19.0,99.33,8.9,7.7,5.0
80,Western,Sekondi-Takoradi,18,18-24,Male,postgraduate,1021.81,6,18.0,67.79,11.8,7.1,5.8
81,Greater Accra,Tema,24,18-24,Female,basic,1080.25,7,18.0,109.82,9.3,4.3,5.7
82,Savannah,Salaga,31,25-34,Female,postgraduate,578.94,6,20.0,134.96,9.9,5.2,3.6
83,Eastern,Koforidua,28,25-34,Female,secondary,1019.71,3,18.0,63.81,6.7,5.2,3.2
84,Volta,Kpando,37,35-44,Male,tertiary,1288.26,4,26.0,130.91,7.2,7.3,3.9
85,Savannah,Bole,24,18-24,Male,postgraduate,1336.95,5,7.0,81.52,6.6,5.0,3.5
86,Western,Sekondi-Takoradi,42,35-44,Male,tertiary,935.03,7,26.0,91.12,9.0,6.7,6.4
87,Savannah,Sawla,24,18-24,Male,tertiary,724.29,7,17.0,100.09,12.0,7.8,5.1
88,Western,Shama,29,25-34,Female,postgraduate,2646.69,6,28.0,101.56,13.8,8.1,4.4
89,Western North,Bodi,18,18-24,Male,tertiary,820.72,9,12.0,92.73,11.1,8.0,8.9
90,Western North,Bodi,22,18-24,Female,secondary,1097.61,8,28.0,143.84,11.1,9.1,4.9
91,Western North,Bibiani,23,18-24,Male,basic,2277.42,4,31.0,102.33,7.6,2.5,3.2
92,Bono East,Kintampo,37,35-44,Female,basic,879.22,6,29.0,64.92,8.9,6.1,8.3
93,Western,Axim,18,18-24,Male,tertiary,991.91,8,23.0,123.03,10.1,7.5,3.8
94,Oti,Dambai,49,45-54,Male,postgraduate,1141.94,7,37.0,136.77,9.6,6.8,8.5
95,Western,Axim,34,25-34,Female,tertiary,1419.3,5,30.0,171.37,11.4,3.8,3.4
96,Upper West,Wa,31,25-34,Female,tertiary,1032.82,7,10.0,86.3,10.2,7.2,5.3
97,Savannah,Damongo,18,18-24,Female,basic,979.74,4,18.0,93.47,2.8,3.7,5.3
98,Savannah,Damongo,61,55-65,Male,secondary,1399.81,6,17.0,98.87,5.3,7.3,3.8
99,Eastern,Akim Oda,36,35-44,Female,tertiary,2461.97,4,49.0,96.98,10.5,4.0,6.3
100,Central,Kasoa,51,45-54,Female,postgraduate,1306.79,6,40.0,120.23,11.4,7.7,6.9
101,Western North,Sefwi Wiawso,33,25-34,Female,secondary,1936.48,5,23.0,143.23,12.7,4.2,4.6
102,Upper East,Bawku,26,25-34,Male,postgraduate,1451.72,1,9.0,46.89,4.6,1.0,7.0
103,Oti,Jasikan,39,35-44,Female,postgraduate,909.85,2,19.0,80.61,0.9,1.0,4.2
104,Ahafo,Tano North,18,18-24,Female,basic,675.43,10,28.0,144.46,10.6,10.0,7.9
105,Upper West,Tumu,19,18-24,Male,tertiary,954.54,6,25.0,118.17,11.4,6.3,2.9
106,Greater Accra,Accra,18,18-24,Female,secondary,1110.04,3,0.0,81.47,7.4,1.0,2.6
107,Volta,Kpando,44,35-44,Male,postgraduate,1203.6,7,26.0,142.88,9.5,6.9,5.5
108,Oti,Dambai,18,18-24,Male,postgraduate,260.87,7,20.0,122.3,9.2,7.0,4.8
109,Savannah,Bole,33,25-34,Male,basic,3169.94,3,25.0,103.35,6.9,5.0,3.4
